(MA-99-3a) Population Estimates for Metropolitan Areas and Components, Annual Time Series
           April 1, 1990 to July 1, 1999 (includes April 1, 1990 Population Estimates Base)
     
Source:   Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC 20233
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
          pop@census.gov (Please include a telephone number with email correspondence.)
     
Internet Release Date:  October 20, 2000
     
Block 1 of 2:  Population Estimates for the Years 1994-1999

                                                --------------------------Estimated Population--------------------------
Area Name                                             7/1/99      7/1/98      7/1/97      7/1/96      7/1/95      7/1/94
      Berwick town, ME..........................       6,447       6,374       6,332       6,263       6,180       6,127
      Eliot town, ME............................       5,883       5,771       5,630       5,504       5,423       5,371
      Kittery town, ME..........................       9,448       9,257       9,371       9,116       8,959       9,090
      South Berwick town, ME....................       6,390       6,267       6,186       6,115       6,040       5,977
      York town, ME.............................      10,668      10,459      10,313      10,164      10,026       9,916
    Rockingham County, NH (pt.).................      96,268      94,935      93,738      92,398      90,934      89,594
      Brentwood town, NH........................       3,034       2,910       2,787       2,703       2,637       2,561
      East Kingston town, NH....................       1,974       1,940       1,915       1,872       1,801       1,722
      Epping town, NH...........................       6,036       5,949       5,869       5,764       5,641       5,564
      Exeter town, NH...........................      13,928      13,744      13,593      13,401      13,165      12,760
      Greenland town, NH........................       3,087       3,010       2,970       2,929       2,879       2,831
      Hampton town, NH..........................      13,207      13,054      12,914      12,738      12,517      12,381
      Hampton Falls town, NH....................       1,783       1,753       1,730       1,688       1,631       1,573
      Kensington town, NH.......................       1,399       1,381       1,373       1,360       1,343       1,330
      New Castle town, NH.......................       1,006         958         922         940         834         831
      Newfields town, NH........................       1,389       1,330       1,235       1,147       1,069         999
      Newington town, NH........................       1,138       1,126       1,086       1,053       1,031       1,013
      Newmarket town, NH........................       7,683       7,560       7,487       7,394       7,275       7,207
      North Hampton town, NH....................       4,093       4,033       3,983       3,917       3,834       3,751
      Portsmouth city, NH.......................      25,798      25,664      25,509      25,266      25,271      25,286
      Rye town, NH..............................       4,692       4,626       4,585       4,559       4,491       4,444
      Stratham town, NH.........................       6,021       5,897       5,780       5,667       5,515       5,341
    Strafford County, NH (pt.)..................     103,965     102,891     102,245     101,436      99,546      98,970
      Barrington town, NH.......................       7,184       7,029       6,905       6,773       6,658       6,546
      Dover city, NH............................      26,586      26,254      26,063      25,919      25,829      25,558
      Durham town, NH...........................      12,059      11,963      11,902      11,814      10,562      10,854
      Farmington town, NH.......................       5,927       5,888       5,859       5,802       5,763       5,716
      Lee town, NH..............................       4,216       4,130       4,070       4,006       3,945       3,877
      Madbury town, NH..........................       1,548       1,545       1,544       1,536       1,524       1,508
      Milton town, NH...........................       4,119       4,085       4,062       4,027       3,997       3,966
      Rochester city, NH........................      28,241      27,967      27,833      27,632      27,400      27,158
      Rollinsford town, NH......................       2,541       2,533       2,529       2,516       2,508       2,493
      Somersworth city, NH......................      11,544      11,497      11,478      11,411      11,360      11,294
  Worcester, MA-CT PMSA.........................     497,126     491,969     487,938     484,611     482,403     481,405
    Windham County, CT (pt.)....................       8,697       8,694       8,701       8,695       8,667       8,592
      Thompson town, CT.........................       8,697       8,694       8,701       8,695       8,667       8,592
    Hampden County, MA (pt.)....................       2,079       2,077       2,081       2,088       2,103       2,121
      Holland town, MA..........................       2,079       2,077       2,081       2,088       2,103       2,121
    Worcester County, MA (pt.)..................     486,350     481,198     477,156     473,828     471,633     470,692
      Auburn town, MA...........................      15,828      15,529      15,166      15,011      15,004      15,039
      Barre town, MA............................       4,981       4,928       4,877       4,816       4,783       4,769
      Boylston town, MA.........................       3,939       3,880       3,828       3,779       3,740       3,706
      Brookfield town, MA.......................       2,955       2,930       2,914       2,902       2,903       2,907
      Charlton town, MA.........................      10,542      10,316      10,161      10,031       9,928       9,841
      Clinton town, MA..........................      13,169      13,119      13,123      13,115      13,147      13,226
      Douglas town, MA..........................       7,104       6,880       6,617       6,382       6,192       6,057
      Dudley town, MA...........................       9,417       9,333       9,266       9,169       9,168       9,154
      East Brookfield town, MA..................       2,037       2,023       2,014       2,009       2,013       2,021
      Grafton town, MA..........................      13,778      13,394      13,126      12,942      12,814      12,731
      Holden town, MA...........................      15,360      15,181      15,053      14,944      14,885      14,841
      Leicester town, MA........................      10,622      10,509      10,445      10,370      10,372      10,394
      Millbury town, MA.........................      12,405      12,326      12,288      12,267      12,390      12,430
      Northborough town, MA.....................      13,509      13,196      12,961      12,707      12,460      12,210
      Northbridge town, MA......................      14,336      14,143      13,957      13,774      13,585      13,470
      North Brookfield town, MA.................       4,875       4,844       4,825       4,810       4,799       4,777
      Oakham town, MA...........................       1,706       1,681       1,663       1,642       1,631       1,620
      Oxford town, MA...........................      13,455      13,302      13,148      12,993      12,901      12,828
      Paxton town, MA...........................       4,414       4,353       4,316       4,284       4,264       4,270
      Princeton town, MA........................       3,451       3,406       3,361       3,321       3,295       3,258
      Rutland town, MA..........................       5,615       5,429       5,272       5,167       5,110       5,064
      Shrewsbury town, MA.......................      28,379      27,681      27,100      26,675      26,315      25,771
      Southbridge town, MA......................      17,405      17,357      17,341      17,318      17,528      17,629
      Spencer town, MA..........................      12,479      12,406      12,231      12,012      11,872      11,761
      Sterling town, MA.........................       7,327       7,129       6,961       6,837       6,748       6,669
      Sturbridge town, MA.......................       8,113       8,052       7,971       7,889       7,851       7,841
      Sutton town, MA...........................       7,659       7,475       7,326       7,226       7,116       6,970
      Uxbridge town, MA.........................      11,606      11,304      11,140      11,001      10,871      10,730
      Webster town, MA..........................      16,605      16,546      16,527      16,492      16,504      16,565
      Westborough town, MA......................      15,649      15,400      15,239      14,868      14,525      14,358
      West Boylston town, MA....................       6,753       6,712       6,654       6,601       6,584       6,591
      West Brookfield town, MA..................       3,745       3,699       3,669       3,633       3,572       3,542
      Worcester city, MA........................     167,132     166,735     166,616     166,841     166,763     167,652
Brownsville-Harlingen-San Benito, TX MSA........     329,131     324,046     317,719     311,522     304,459     296,948
  Cameron County, TX............................     329,131     324,046     317,719     311,522     304,459     296,948
Bryan-College Station, TX MSA...................     134,213     132,919     132,220     130,688     130,839     130,348
  Brazos County, TX.............................     134,213     132,919     132,220     130,688     130,839     130,348
Buffalo-Niagara Falls, NY MSA...................   1,142,121   1,151,490   1,162,332   1,173,001   1,180,896   1,186,544
  Erie County, NY...............................     925,957     933,702     942,832     952,378     959,630     965,328
  Niagara County, NY............................     216,164     217,788     219,500     220,623     221,266     221,216
Burlington, VT MSA..............................     165,917     164,220     163,117     161,657     160,435     158,822
  Chittenden County (pt.).......................     135,702     134,339     133,544     132,321     131,398     130,004
      Burlington city, VT.......................      38,332      38,339      38,469      38,441      38,816      38,935
      Charlotte town, VT........................       3,634       3,564       3,514       3,463       3,417       3,358
      Colchester town, VT.......................      16,540      16,406      16,307      16,203      16,046      15,828
      Essex town, VT............................      18,279      17,914      17,651      17,410      17,185      16,981
      Hinesburg town, VT........................       4,318       4,282       4,240       4,188       4,149       4,105
      Jericho town, VT..........................       4,785       4,730       4,710       4,659       4,586       4,463
      Milton town, VT...........................      10,047       9,867       9,672       9,472       9,294       9,108
      Richmond town, VT.........................       4,198       4,172       4,119       4,069       4,038       4,004
      St. George town, VT.......................         801         791         785         775         768         761
      Shelburne town, VT........................       6,912       6,769       6,722       6,661       6,599       6,525
      South Burlington city, VT.................      14,257      14,066      14,017      13,824      13,597      13,347
      Williston town, VT........................       6,990       6,831       6,710       6,519       6,299       6,010
      Winooski city, VT.........................       6,609       6,608       6,628       6,637       6,604       6,579
  Franklin County (pt.).........................      26,520      26,270      26,017      25,879      25,666      25,532
      Fairfax town, VT..........................       3,176       3,067       2,962       2,890       2,814       2,751
      Georgia town, VT..........................       4,405       4,364       4,280       4,228       4,188       4,163
      St. Albans city, VT.......................       7,715       7,721       7,747       7,796       7,819       7,901
      St. Albans town, VT.......................       5,530       5,493       5,451       5,395       5,313       5,225
      Swanton town, VT..........................       5,694       5,625       5,577       5,570       5,532       5,492
  Grand Isle County (pt.).......................       3,695       3,611       3,556       3,457       3,371       3,286
      Grand Isle town, VT.......................       2,046       2,006       1,975       1,914       1,867       1,830
      South Hero town, VT.......................       1,649       1,605       1,581       1,543       1,504       1,456
Canton-Massillon, OH MSA........................     402,460     402,112     402,675     402,864     402,342     401,546
  Carroll County, OH............................      29,286      29,088      28,854      28,451      28,163      27,766
  Stark County, OH..............................     373,174     373,024     373,821     374,413     374,179     373,780
Casper, WY MSA..................................      63,157      63,241      63,703      63,618      63,801      63,797
  Natrona County, WY............................      63,157      63,241      63,703      63,618      63,801      63,797
Cedar Rapids, IA MSA............................     184,891     182,779     181,542     179,829     179,080     176,855
  Linn County, IA...............................     184,891     182,779     181,542     179,829     179,080     176,855
Champaign-Urbana, IL MSA........................     170,272     169,835     170,490     170,033     169,004     167,992
  Champaign County, IL..........................     170,272     169,835     170,490     170,033     169,004     167,992
Charleston-North Charleston, SC MSA.............     552,803     542,232     534,013     522,700     526,130     532,566
  Berkeley County, SC...........................     142,300     137,591     134,039     131,844     134,766     138,646
  Charleston County, SC.........................     319,921     316,606     313,478     306,600     306,698     307,475
  Dorchester County, SC.........................      90,582      88,035      86,496      84,256      84,666      86,445
Charleston, WV MSA..............................     251,199     252,672     253,534     254,125     254,282     253,969
  Kanawha County, WV............................     199,263     201,477     203,192     204,681     205,581     206,114
  Putnam County, WV.............................      51,936      51,195      50,342      49,444      48,701      47,855
Charlotte-Gastonia-Rock Hill, NC-SC MSA.........   1,417,217   1,382,548   1,350,679   1,317,806   1,286,363   1,257,264
  Cabarrus County, NC...........................     124,844     120,319     116,249     113,092     109,931     107,183
  Gaston County, NC.............................     185,169     183,856     182,984     181,794     180,715     179,468
  Lincoln County, NC............................      58,895      58,046      57,191      56,252      55,561      55,167
  Mecklenburg County, NC........................     648,400     630,813     614,209     596,256     578,832     562,788
  Rowan County, NC..............................     126,585     125,057     123,687     121,661     119,249     117,338
  Union County, NC..............................     115,144     110,188     105,965     102,347      98,878      94,956
  York County, SC...............................     158,180     154,269     150,394     146,404     143,197     140,364
Charlottesville, VA MSA.........................     151,267     149,357     146,656     144,382     142,239     140,103
  Albemarle County, VA..........................      80,145      79,417      77,615      76,935      75,744      72,569
  Fluvanna County, VA...........................      19,622      18,908      17,821      16,881      16,073      15,151
  Greene County, VA.............................      14,685      14,044      13,390      12,957      12,628      12,527
  Charlottesville city, VA......................      36,815      36,988      37,830      37,609      37,794      39,856
Chattanooga, TN-GA MSA..........................     452,034     449,627     447,634     444,433     441,971     438,274
  Catoosa County, GA............................      52,100      50,709      49,386      48,266      47,879      46,354
  Dade County, GA...............................      15,344      15,057      14,604      14,477      14,150      13,929
  Walker County, GA.............................      62,963      62,690      62,176      61,269      60,573      59,746
  Hamilton County, TN...........................     294,720     294,494     294,972     294,197     293,266     292,300
  Marion County, TN.............................      26,907      26,677      26,496      26,224      26,103      25,945
Cheyenne, WY MSA................................      78,877      78,583      78,626      78,729      78,300      77,916
  Laramie County, WY............................      78,877      78,583      78,626      78,729      78,300      77,916
Chicago-Gary-Kenosha, IL-IN-WI CMSA.............   8,885,919   8,823,062   8,761,503   8,702,880   8,636,916   8,569,326
  Chicago, IL PMSA..............................   8,008,507   7,949,134   7,890,814   7,836,157   7,774,092   7,711,408
    Cook County, IL.............................   5,192,326   5,192,396   5,189,148   5,191,223   5,186,349   5,182,502
    DeKalb County, IL...........................      86,993      85,896      84,900      84,033      83,161      81,807
    DuPage County, IL...........................     892,547     880,996     869,956     859,810     852,140     842,730
    Grundy County, IL...........................      37,181      36,748      36,227      35,619      35,047      34,670
    Kane County, IL.............................     402,622     391,686     381,807     371,145     360,416     349,361
    Kendall County, IL..........................      53,659      51,793      49,854      47,795      45,378      43,938
    Lake County, IL.............................     617,975     608,348     598,080     586,390     572,988     560,939
    McHenry County, IL..........................     246,812     241,046     236,043     230,521     224,318     216,017
    Will County, IL.............................     478,392     460,225     444,799     429,621     414,295     399,444
  Gary, IN PMSA.................................     628,377     627,222     625,577     623,749     622,135     619,441
    Lake County, IN.............................     480,619     480,969     481,404     481,482     482,066     481,836
    Porter County, IN...........................     147,758     146,253     144,173     142,267     140,069     137,605
  Kankakee, IL PMSA.............................     102,720     102,318     102,167     101,645     101,410     101,167
    Kankakee County, IL.........................     102,720     102,318     102,167     101,645     101,410     101,167
  Kenosha, WI PMSA..............................     146,315     144,388     142,945     141,329     139,279     137,310
    Kenosha County, WI..........................     146,315     144,388     142,945     141,329     139,279     137,310
Chico-Paradise, CA MSA..........................     195,220     194,347     193,061     192,116     192,543     191,811
  Butte County, CA..............................     195,220     194,347     193,061     192,116     192,543     191,811
Cincinnati-Hamilton, OH-KY-IN CMSA..............   1,960,995   1,948,355   1,934,352   1,918,768   1,906,557   1,894,024
  Cincinnati, OH-KY-IN PMSA.....................   1,627,509   1,617,463   1,606,655   1,594,735   1,586,706   1,578,166
    Dearborn County, IN.........................      48,011      47,169      46,378      45,262      44,348      43,225
    Ohio County, IN.............................       5,457       5,447       5,436       5,446       5,430       5,467
    Boone County, KY............................      83,356      79,761      76,117      72,830      69,991      67,532
    Campbell County, KY.........................      87,203      87,301      87,517      87,089      86,968      86,192
    Gallatin County, KY.........................       7,437       7,182       6,787       6,429       6,165       6,051
    Grant County, KY............................      20,805      20,314      19,800      19,338      18,709      17,963
    Kenton County, KY...........................     147,221     146,731     146,143     145,139     145,192     144,575
    Pendleton County, KY........................      13,959      13,735      13,850      13,721      13,411      13,210
    Brown County, OH............................      41,576      40,808      40,133      39,393      38,737      38,148
    Clermont County, OH.........................     178,749     175,786     172,827     169,522     166,655     163,759
    Hamilton County, OH.........................     840,443     847,202     851,670     855,704     860,198     865,034
    Warren County, OH...........................     153,292     146,027     139,997     134,862     130,902     127,010
  Hamilton-Middletown, OH PMSA..................     333,486     330,892     327,697     324,033     319,851     315,858
    Butler County, OH...........................     333,486     330,892     327,697     324,033     319,851     315,858
Clarksville-Hopkinsville, TN-KY MSA.............     201,352     199,592     197,641     194,151     187,717     184,059
  Christian County, KY..........................      71,941      72,436      73,283      73,160      72,072      71,424
  Montgomery County, TN.........................     129,411     127,156     124,358     120,991     115,645     112,635
Cleveland-Akron, OH CMSA........................   2,910,616   2,912,646   2,916,164   2,918,310   2,913,287   2,908,937
  Akron, OH PMSA................................     689,435     687,989     686,918     685,074     680,297     676,549
    Portage County, OH..........................     151,579     150,829     150,360     149,649     148,172     146,722
    Summit County, OH...........................     537,856     537,160     536,558     535,425     532,125     529,827
  Cleveland-Lorain-Elyria, OH PMSA..............   2,221,181   2,224,657   2,229,246   2,233,236   2,232,990   2,232,388
    Ashtabula County, OH........................     103,344     103,242     103,027     102,415     102,052     101,672
    Cuyahoga County, OH.........................   1,371,717   1,380,428   1,389,022   1,399,398   1,406,591   1,413,289
    Geauga County, OH...........................      89,598      88,591      87,516      85,990      84,414      83,047
    Lake County, OH.............................     227,145     226,825     226,185     225,658     224,148     222,533
    Lorain County, OH...........................     282,100     281,716     281,924     280,945     279,924     278,832
    Medina County, OH...........................     147,277     143,855     141,572     138,830     135,861     133,015
Colorado Springs, CO MSA........................     499,994     490,044     479,935     472,429     464,775     453,216
  El Paso County, CO............................     499,994     490,044     479,935     472,429     464,775     453,216
Columbia, MO MSA................................     130,179     128,963     127,853     125,697     123,317     121,062
  Boone County, MO..............................     130,179     128,963     127,853     125,697     123,317     121,062
Columbia, SC MSA................................     516,251     509,935     502,097     495,607     488,486     482,033
  Lexington County, SC..........................     208,972     205,044     200,468     195,366     191,205     186,715
  Richland County, SC...........................     307,279     304,891     301,629     300,241     297,281     295,318
Columbus, GA-AL MSA.............................     271,417     271,487     272,035     271,404     271,643     273,338
  Russell County, AL............................      50,071      50,368      50,737      51,602      51,376      51,494
  Chattahoochee County, GA......................      16,654      16,408      16,337      16,130      15,925      15,674
  Harris County, GA.............................      22,634      22,297      22,214      21,275      20,427      19,723
  Muscogee County, GA...........................     182,058     182,414     182,747     182,397     183,915     186,447
Columbus, OH MSA................................   1,489,487   1,473,064   1,455,215   1,441,053   1,433,060   1,420,081
  Delaware County, OH...........................     103,679      98,208      92,440      87,148      82,140      78,816
  Fairfield County, OH..........................     126,723     123,949     121,504     119,269     117,261     114,396
  Franklin County, OH...........................   1,027,821   1,021,578   1,017,589   1,011,890   1,007,634   1,002,968
  Licking County, OH............................     136,485     134,962     130,257     129,322     132,873     131,991
  Madison County, OH............................      41,348      41,089      40,754      40,999      40,815      40,301
  Pickaway County, OH...........................      53,431      53,278      52,671      52,425      52,337      51,609
Corpus Christi, TX MSA..........................     387,105     386,460     384,664     380,728     376,860     373,912
  Nueces County, TX.............................     315,469     315,723     315,447     313,436     310,979     309,178
  San Patricio County, TX.......................      71,636      70,737      69,217      67,292      65,881      64,734
Corvallis, OR MSA...............................      77,192      77,823      77,536      76,914      75,801      74,911
  Benton County, OR.............................      77,192      77,823      77,536      76,914      75,801      74,911
Cumberland, MD-WV MSA...........................      98,231      99,174      99,657     100,701     101,250     101,330
  Allegany County, MD...........................      71,162      72,130      72,649      73,528      74,073      74,103
  Mineral County, WV............................      27,069      27,044      27,008      27,173      27,177      27,227
Dallas-Fort Worth, TX CMSA......................   4,909,523   4,794,486   4,671,407   4,552,221   4,447,101   4,358,716
  Dallas, TX PMSA...............................   3,280,310   3,202,721   3,117,245   3,032,906   2,958,809   2,897,325
    Collin County, TX...........................     456,612     428,345     400,571     372,266     347,792     327,043
    Dallas County, TX...........................   2,062,100   2,045,309   2,016,929   1,986,996   1,961,007   1,941,621
    Denton County, TX...........................     404,074     383,369     363,925     347,804     333,105     319,517
    Ellis County, TX............................     107,580     103,734     100,537      97,175      94,013      91,863
    Henderson County, TX........................      70,673      68,988      67,266      65,303      63,908      62,067
    Hunt County, TX.............................      71,717      70,239      68,733      67,690      66,559      65,722
    Kaufman County, TX..........................      68,065      65,535      63,703      61,564      59,709      57,999
    Rockwall County, TX.........................      39,489      37,202      35,581      34,108      32,716      31,493
  Fort Worth-Arlington, TX PMSA.................   1,629,213   1,591,765   1,554,162   1,519,315   1,488,292   1,461,391
    Hood County, TX.............................      38,750      37,259      36,008      34,901      33,440      31,736
    Johnson County, TX..........................     122,594     118,200     113,855     110,295     107,640     104,296
    Parker County, TX...........................      85,427      82,266      78,773      75,914      73,333      71,206
    Tarrant County, TX..........................   1,382,442   1,354,040   1,325,526   1,298,205   1,273,879   1,254,153
Danville, VA MSA................................     107,555     108,246     108,809     109,185     109,488     109,706
  Pittsylvania County, VA.......................      56,760      56,536      56,342      56,318      56,034      55,951
  Danville city, VA.............................      50,795      51,710      52,467      52,867      53,454      53,755
Davenport-Moline-Rock Island, IA-IL MSA.........     358,842     357,795     357,314     357,098     357,394     356,917
  Henry County, IL..............................      51,862      51,542      51,501      51,657      51,647      51,353
  Rock Island County, IL........................     147,522     147,920     148,067     148,228     149,089     149,521
  Scott County, IA..............................     159,458     158,333     157,746     157,213     156,658     156,043
Dayton-Springfield, OH MSA......................     958,698     961,557     961,524     964,821     966,027     964,739
  Clark County, OH..............................     144,962     145,266     145,868     146,759     146,981     147,111
  Greene County, OH.............................     149,149     147,942     145,983     146,517     146,698     144,492
  Miami County, OH..............................      98,721      98,208      97,719      96,970      96,636      96,158
  Montgomery County, OH.........................     565,866     570,141     571,954     574,575     575,712     576,978
Daytona Beach, FL MSA...........................     474,711     467,711     460,771     452,713     446,868     440,073
  Flagler County, FL............................      49,110      47,043      44,920      42,385      40,259      37,854
  Volusia County, FL............................     425,601     420,668     415,851     410,328     406,609     402,219
Decatur, AL MSA.................................     143,460     142,665     141,655     140,476     139,472     138,203
  Lawrence County, AL...........................      33,795      33,447      33,278      33,079      32,764      32,368
  Morgan County, AL.............................     109,665     109,218     108,377     107,397     106,708     105,835
Decatur, IL MSA.................................     113,219     113,675     114,160     115,232     116,150     116,569
  Macon County, IL..............................     113,219     113,675     114,160     115,232     116,150     116,569
Denver-Boulder-Greeley, CO CMSA.................   2,417,908   2,362,831   2,318,068   2,269,552   2,226,451   2,183,795
  Boulder-Longmont, CO PMSA.....................     273,112     266,671     261,431     256,725     252,928     249,030
    Boulder County, CO..........................     273,112     266,671     261,431     256,725     252,928     249,030
  Denver, CO PMSA...............................   1,978,991   1,936,659   1,901,102   1,861,722   1,825,525   1,790,685
    Adams County, CO............................     331,045     323,427     315,842     309,225     301,970     293,195
    Arapahoe County, CO.........................     482,089     472,579     462,888     454,394     446,932     441,042
    Denver County, CO...........................     499,775     498,402     499,326     495,805     492,467     491,332
    Douglas County, CO..........................     156,860     141,449     126,908     111,960      99,886      88,329
    Jefferson County, CO........................     509,222     500,802     496,138     490,338     484,270     476,787
  Greeley, CO PMSA..............................     165,805     159,501     155,535     151,105     147,998     144,080
    Weld County, CO.............................     165,805     159,501     155,535     151,105     147,998     144,080
Des Moines, IA MSA..............................     443,496     436,787     431,812     427,844     422,859     417,460
  Dallas County, IA.............................      38,210      36,865      35,783      34,484      33,320      32,461
  Polk County, IA...............................     364,672     359,713     356,245     353,943     350,699     346,646
  Warren County, IA.............................      40,614      40,209      39,784      39,417      38,840      38,353
Detroit-Ann Arbor-Flint, MI CMSA................   5,469,312   5,452,926   5,442,000   5,424,590   5,379,527   5,333,624
  Ann Arbor, MI PMSA............................     557,349     547,713     539,030     530,160     521,034     512,665
    Lenawee County, MI..........................      99,780      98,609      97,889      97,059      96,323      95,335
    Livingston County, MI.......................     151,496     146,317     141,853     137,810     133,334     129,010
    Washtenaw County, MI........................     306,073     302,787     299,288     295,291     291,377     288,320
  Detroit, MI PMSA..............................   4,474,614   4,469,522   4,467,658   4,459,117   4,424,563   4,388,826
    Lapeer County, MI...........................      89,391      88,229      86,859      85,535      83,505      81,215
    Macomb County, MI...........................     792,082     786,866     783,031     778,699     765,957     754,837
    Monroe County, MI...........................     144,913     143,365     142,110     140,446     138,906     136,994
    Oakland County, MI..........................   1,179,978   1,175,057   1,170,051   1,161,550   1,150,954   1,137,847
    St. Clair County, MI........................     161,755     159,465     157,494     155,585     154,081     152,401
    Wayne County, MI............................   2,106,495   2,116,540   2,128,113   2,137,302   2,131,160   2,125,532
  Flint, MI PMSA................................     437,349     435,691     435,312     435,313     433,930     432,133
    Genesee County, MI..........................     437,349     435,691     435,312     435,313     433,930     432,133
Dothan, AL MSA..................................     135,243     134,529     134,234     134,152     134,064     133,789
  Dale County, AL...............................      49,127      48,916      49,101      49,453      50,229      50,362
  Houston County, AL............................      86,116      85,613      85,133      84,699      83,835      83,427
Dover, DE MSA...................................     126,048     124,311     122,654     121,648     120,863     119,137
  Kent County, DE...............................     126,048     124,311     122,654     121,648     120,863     119,137
Dubuque, IA MSA.................................      88,112      87,879      88,186      88,390      88,352      88,177
  Dubuque County, IA............................      88,112      87,879      88,186      88,390      88,352      88,177
Duluth-Superior, MN-WI MSA......................     236,400     236,591     237,771     237,490     237,846     240,570
  St. Louis County, MN..........................     193,433     193,463     194,687     194,556     195,006     197,692
  Douglas County, WI............................      42,967      43,128      43,084      42,934      42,840      42,878
Eau Claire, WI MSA..............................     144,463     143,801     143,451     142,749     142,164     141,572
  Chippewa County, WI...........................      54,722      54,566      54,295      54,061      53,978      53,851
  Eau Claire County, WI.........................      89,741      89,235      89,156      88,688      88,186      87,721
El Paso, TX MSA.................................     701,908     694,603     685,388     674,005     668,890     657,866
  El Paso County, TX............................     701,908     694,603     685,388     674,005     668,890     657,866
Elkhart-Goshen, IN MSA..........................     174,680     172,718     170,808     168,777     166,700     163,974
  Elkhart County, IN............................     174,680     172,718     170,808     168,777     166,700     163,974
Elmira, NY MSA..................................      91,738      92,207      92,549      93,311      93,951      94,357
  Chemung County, NY............................      91,738      92,207      92,549      93,311      93,951      94,357
Enid, OK MSA....................................      56,954      56,939      56,799      56,864      57,149      56,667
  Garfield County, OK...........................      56,954      56,939      56,799      56,864      57,149      56,667
Erie, PA MSA....................................     276,993     278,114     279,513     280,009     280,044     280,085
  Erie County, PA...............................     276,993     278,114     279,513     280,009     280,044     280,085
Eugene-Springfield, OR MSA......................     314,901     313,344     311,092     306,326     302,819     298,720
  Lane County, OR...............................     314,901     313,344     311,092     306,326     302,819     298,720
Evansville-Henderson, IN-KY MSA.................     291,181     290,228     290,121     288,906     287,238     286,483
  Posey County, IN..............................      26,292      26,454      26,464      26,407      26,316      26,205
  Vanderburgh County, IN........................     167,922     167,736     168,281     168,185     167,447     167,720
  Warrick County, IN............................      52,557      51,556      50,917      49,963      49,198      48,427
  Henderson County, KY..........................      44,410      44,482      44,459      44,351      44,277      44,131
Fargo-Moorhead, ND-MN MSA.......................     170,122     168,410     166,645     164,921     163,601     161,744
  Clay County, MN...............................      51,717      51,522      51,657      51,701      51,821      51,605
  Cass County, ND...............................     118,405     116,888     114,988     113,220     111,780     110,139
Fayetteville, NC MSA............................     283,650     284,224     285,599     283,666     284,406     283,432
  Cumberland County, NC.........................     283,650     284,224     285,599     283,666     284,406     283,432
Fayetteville-Springdale-Rogers, AR MSA..........     285,017     278,864     273,877     266,556     257,958     246,823
  Benton County, AR.............................     138,424     133,875     130,254     126,214     121,155     115,574
  Washington County, AR.........................     146,593     144,989     143,623     140,342     136,803     131,249
Flagstaff, AZ-UT MSA............................     120,652     120,306     119,795     118,066     116,397     114,036
  Coconino County, AZ...........................     114,498     114,087     113,719     112,054     110,426     108,256
  Kane County, UT...............................       6,154       6,219       6,076       6,012       5,971       5,780
Florence, AL MSA................................     136,879     137,130     137,003     136,603     135,859     135,292
  Colbert County, AL............................      52,552      52,924      53,094      52,630      52,421      52,421
  Lauderdale County, AL.........................      84,327      84,206      83,909      83,973      83,438      82,871
Florence, SC MSA................................     125,229     124,682     124,357     123,173     122,477     120,991
  Florence County, SC...........................     125,229     124,682     124,357     123,173     122,477     120,991
Fort Collins-Loveland, CO MSA...................     236,849     231,104     225,498     221,355     216,976     212,289
  Larimer County, CO............................     236,849     231,104     225,498     221,355     216,976     212,289
Fort Myers-Cape Coral, FL MSA...................     400,542     392,909     385,771     379,584     374,395     367,161
  Lee County, FL................................     400,542     392,909     385,771     379,584     374,395     367,161
Fort Pierce-Port St. Lucie, FL MSA..............     299,967     295,309     291,232     286,320     280,982     277,373
  Martin County, FL.............................     118,117     115,949     113,786     111,928     109,775     108,599
  St. Lucie County, FL..........................     181,850     179,360     177,446     174,392     171,207     168,774
Fort Smith, AR-OK MSA...........................     195,547     193,711     192,377     190,699     188,117     184,666
  Crawford County, AR...........................      51,409      50,267      49,469      48,828      47,908      46,414
  Sebastian County, AR..........................     106,252     105,898     105,936     105,334     104,325     103,162
  Sequoyah County, OK...........................      37,886      37,546      36,972      36,537      35,884      35,090
Fort Walton Beach, FL MSA.......................     170,049     168,532     167,633     165,627     163,298     160,735
  Okaloosa County, FL...........................     170,049     168,532     167,633     165,627     163,298     160,735
Fort Wayne, IN MSA..............................     484,320     481,247     477,389     474,052     470,711     467,865
  Adams County, IN..............................      33,168      33,019      32,734      32,658      32,390      32,061
  Allen County, IN..............................     316,471     314,422     311,833     309,812     307,851     306,704
  DeKalb County, IN.............................      39,683      39,308      38,942      38,245      37,855      37,516
  Huntington County, IN.........................      37,377      37,291      37,158      36,941      36,757      36,369
  Wells County, IN..............................      26,810      26,849      26,746      26,587      26,454      26,200
  Whitley County, IN............................      30,811      30,358      29,976      29,809      29,404      29,015
Fresno, CA MSA..................................     879,829     869,574     863,080     853,230     841,150     833,050
  Fresno County, CA.............................     763,069     755,051     750,640     743,479     734,615     727,869
  Madera County, CA.............................     116,760     114,523     112,440     109,751     106,535     105,181
Gadsden, AL MSA.................................     103,472     103,923     103,758     102,757     102,082     102,019
  Etowah County, AL.............................     103,472     103,923     103,758     102,757     102,082     102,019
Gainesville, FL MSA.............................     198,484     198,221     197,579     196,479     195,535     193,387
